"Views","Show View (Outline)","Alt+O","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Embedded Xtext Editor context"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Edit","Delete","Delete","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Embedded Xtext Editor context"
"Smart Save","Toggle Smart Save","Shift+Ctrl+Alt+S","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Run/Debug","Run Blaze Coverage","Shift+Alt+X B C","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Text Editing","Line End","End","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Views","Show View (Outline)","Alt+W","In Windows"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Embedded Xtext Editor context"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Window","Preferences","Ctrl+Alt+S","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Window","New Editor","Ctrl+8","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Embedded Xtext Editor context"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Editing","Go to Matching Bracket","Shift+Ctrl+P","Editing Xtext Source"
"Views","Show View (Console)","Alt+C","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Window","Select Working Sets","Ctrl+Alt+E","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Uncategorized","Fonts Decrease","Ctrl+-","Editing Text"
"Terminal","Copy","Shift+Ctrl+C","Terminal"
"Editing","Toggle Comment","Ctrl+7","Editing Xtext Source"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Text Editing","Select Line End","Shift+End","Editing Text"
